2025-08-03 12:32:25 | bingx        | INFO     | Initializing DataPersistence
2025-08-03 12:32:25 | bingx        | INFO     | Parquet directory: bingx_data/parquet
2025-08-03 12:32:25 | bingx        | INFO     | Starting BingX Complete Client for BTC-USDT 3m
2025-08-03 12:32:25 | bingx        | INFO     | Starting historical backfill from API for 1 days
2025-08-03 12:32:26 | bingx        | INFO     | Processing chunk of 480 historical candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 35): 1/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Bucket progress ('2025-08-02', 35): 1/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 36): 1/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Bucket progress ('2025-08-02', 36): 1/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 36): 2/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 36): 3/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Bucket progress ('2025-08-02', 36): 3/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 36): 4/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 36): 5/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 36): 6/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Bucket progress ('2025-08-02', 36): 6/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 36): 7/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Aggregating 7 candles:
2025-08-03 12:32:26 | bingx        | DEBUG    |   First: 2025-08-02 12:36:00 - Open: 113698.30
2025-08-03 12:32:26 | bingx        | DEBUG    |   Last:  2025-08-02 12:54:00 - Close: 113623.50
2025-08-03 12:32:26 | bingx        | DEBUG    |   High:  113700.00
2025-08-03 12:32:26 | bingx        | DEBUG    |   Low:   113531.90
2025-08-03 12:32:26 | bingx        | DEBUG    |     1. 12:36:00 O:113698.30 H:113700.00 L:113657.90 C:113680.20 V:3.71
2025-08-03 12:32:26 | bingx        | DEBUG    |     2. 12:39:00 O:113680.00 H:113695.20 L:113637.10 C:113637.10 V:6.08
2025-08-03 12:32:26 | bingx        | DEBUG    |     3. 12:42:00 O:113637.10 H:113637.30 L:113531.90 C:113535.10 V:16.00
2025-08-03 12:32:26 | bingx        | DEBUG    |     4. 12:45:00 O:113535.30 H:113584.30 L:113535.10 C:113543.10 V:8.90
2025-08-03 12:32:26 | bingx        | DEBUG    |     5. 12:48:00 O:113542.90 H:113600.00 L:113535.10 C:113566.70 V:7.80
2025-08-03 12:32:26 | bingx        | DEBUG    |     6. 12:51:00 O:113566.70 H:113622.60 L:113565.00 C:113588.00 V:4.72
2025-08-03 12:32:26 | bingx        | DEBUG    |     7. 12:54:00 O:113587.80 H:113670.00 L:113575.20 C:113623.50 V:5.88
2025-08-03 12:32:26 | bingx        | DEBUG    | Bucket complete: 2025-08-02 12:36:00-12:54:00 | O: 113698.30 | H: 113700.00 | L: 113531.90 | C: 113623.50 | V: 53.09 | Candles: 7
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 37): 1/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Bucket progress ('2025-08-02', 37): 1/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 37): 2/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 37): 3/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Bucket progress ('2025-08-02', 37): 3/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 37): 4/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 37): 5/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 37): 6/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Bucket progress ('2025-08-02', 37): 6/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Added to bucket ('2025-08-02', 37): 7/7 candles
2025-08-03 12:32:26 | bingx        | DEBUG    | Aggregating 7 candles:
2025-08-03 12:32:26 | bingx        | DEBUG    |   First: 2025-08-02 12:57:00 - Open: 113623.70
2025-08-03 12:32:26 | bingx        | DEBUG    |   Last:  2025-08-02 13:15:00 - Close: 113409.40
2025-08-03 12:32:26 | bingx        | DEBUG    |   High:  113623.70
2025-08-03 12:32:26 | bingx        | DEBUG    |   Low:   113405.00
2025-08-03 12:32:26 | bingx        | DEBUG    |     1. 12:57:00 O:113623.70 H:113623.70 L:113600.00 C:113600.10 V:3.63
